page,0,,2,Energy (Energy),Water,Protein,Fat,"Carbohydrate, Carbohydrate available,Carbohydrate by difference",Dietary Fibre,Ash,Calcium,Phosphorus,Magnesium,Sodium,Potassium,Iron,Copper,Zinc,Iodine,Betacarotene,Retinol,Total Vitamin A (RAE),Thiamin,Riboflavin,Niacin,Vitamin C,Vitamin E,Sugar,,29,30,31,32
food_page_1,01001,"ก๋วยเตี๋ยว, เส้นจันท์, แห้ง","Noodle, rice, small size strip, dried",(350),12.7,5.30,0.30,(81.40),(0.6),0.30,29,73,-,-,-,-,-,-,0,-,0,tr,tr,0.70,0,-,-,-,,,,,
food_page_1,01002,"ก๋วยเตี๋ยว, เส้นเล็ก, เส้นสด","Noodle, rice, small size strip, fresh",(220),45.7,4.40,0.60,(49.20),(0.2),0.10,12,22,-,-,1.90,-,-,-,0,-,0,0.00,0.01,0.60,-,-,-,-,,,,,
food_page_1,01003,"ก๋วยเตี๋ยว, เส้นใหญ่, เส้นสด","Noodle, rice, big size strip, fresh",(135),67.1,2.50,0.80,(29.50),(0.1),0.10,10,29,-,-,2.70,-,-,-,0,-,0,0.00,tr,0.30,-,-,-,-,,,,,
food_page_1,01004,"ขนมจีน, แป้งสด","Noodle, rice, round, cooked",(90),77.5,1.40,0.00,(21.00),(0.1),0.10,7,22,-,-,2.30,-,-,-,0,-,0,0.00,tr,0.10,0,-,-,-,,,,,
food_page_1,01005,"ขนมจีน, แป้งหมัก","Noodle, rice, round, fermented",(77),80.7,0.90,0.10,(18.20),(0.1),0.10,7,14,-,-,0.90,-,-,-,0,-,0,tr,0.02,0.40,0,-,-,-,,,,,
food_page_1,01006,ขนมปังปอนด์,Bread,(329),20.0,12.20,3.30,(62.60),(0.3),1.90,22,121,-,-,2.00,-,-,-,-,-,-,0.21,0.16,1.40,-,-,-,-,,,,,
food_page_1,01007,"ข้าวกล้อง, งอก, ดิบ","Rice, brown, germinated, raw",366,10.3,7.57,3.73,74.13,2.9,1.44,6,-,-,12,-,-,-,-,-,1,-,0,0.20,0.04,-,-,-,0.77,,,,,
food_page_1,01008,"ข้าวกล้อง, ดอย, ดิบ","Hightland, brown rice, raw",357,12.3,7.26,3.44,72.77,3.0,1.24,164,216,167,1,364,-,0.25,2.76,-,3,-,0,0.31,0.07,-,-,0.36,-,,,,,
food_page_1,01009,"ข้าวกล้อง, ดอย, สีแดง, ดิบ","Hightland red, brown rice, raw",352,12.2,8.68,3.03,70.54,4.1,1.51,174,250,178,1,372,-,0.42,3.22,-,4,-,0,0.32,0.09,6.82,-,0.59,-,,,,,
food_page_1,01010,"ข้าวกล้อง, หอมนิล, ดิบ","Rice, brown, Homnil variety, raw",364,12.0,9.44,5.25,68.14,3.2,1.95,9,-,-,2,-,2.17,-,-,1,15,-,1,0.57,0.13,-,-,-,2.60,,,,,
food_page_1,01011,"ข้าวกล้อง, หอมมะลิ, ดิบ","Rice, brown, Jusmine variety, raw",357,12.0,7.72,3.52,71.90,3.3,1.50,16,255,-,20,-,2.44,-,-,-,2,-,0,0.47,0.07,-,-,-,1.00,,,,,
food_page_1,01012,"ข้าวเจ้า, 5%, ดิบ","Rice, polished, 5%, raw",(352),12.9,6.60,1.00,(79.10),(0.2),0.40,0,80,-,-,-,0.70,-,-,-,-,-,-,0.20,0.31,1.10,-,-,-,,,,,
food_page_1,01013,"ข้าวเจ้า, 10%, ดิบ","Rice, polished, 10%, raw",(352),12.8,6.50,0.90,(79.40),(0.2),0.40,0,93,-,-,-,1.10,-,-,-,-,-,-,0.17,0.40,1.30,-,-,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_page_11,03001,"กระจับ, ดิบ","Water chestnut, raw",(93),75.9,3.50,0.20,(19.30),(0.6),1.10,15,9,-,-,-,1.20,-,-,-,0,-,0,0.36,0.05,1.50,8,-,-,,,,,
food_page_11,03002,"กระจับ, ต้ม","Water chestnut, boiled",(165),56.7,4.80,0.20,(36.10),(0.8),2.20,26,16,-,-,-,1.70,-,-,-,0,-,0,0.25,0.03,1.30,-,-,-,,,,,
food_page_11,03003,"ก่อ, ลูกก่อ, ดิบ","Look kaw, raw",(262),35.8,3.70,2.00,(57.30),(0.8),1.20,-,103,-,-,-,0.00,-,-,-,0,-,0,-,-,1.20,0,-,-,,,,,
food_page_11,03004,"กะ, ลูกกะ, ลูกประ, คั่ว","Look ka, Look pra, roasted",(605),3.0,16.10,45.40,(33.00),(2.5),2.50,-,348,-,-,-,tr,-,-,-,15,-,1,0.04,-,2.30,-,-,-,,,,,
food_page_11,03005,"เกาลัด, ดิบ","Chestnut, raw",206,46.7,3.80,1.80,40.80,5.7,1.20,-,-,-,-,-,tr,-,-,-,57,-,5,-,-,2.10,-,-,-,,,,,
food_page_11,03006,"งาขาว, คั่ว","Sesame, seeds, white, roasted",(697),3.0,26.10,64.20,(3.60),(4.1),3.10,90,-,-,-,-,13.00,-,-,-,4,-,tr,0.83,1.54,5.00,-,-,-,,,,,
food_page_11,03007,"งาขาว, ดิบ","Sesame, seeds, white, raw",(658),3.9,20.90,57.10,(15.00),(4.6),3.10,86,650,-,-,-,7.40,-,-,-,0,-,0,1.08,0.11,3.30,0,-,-,,,,,
food_page_11,03008,"งาขี้ม้อน, ดิบ","Perilla, raw",(569),7.2,16.00,42.00,(31.70),(19.3),3.10,442,284,-,-,-,6.30,-,-,-,35,-,3,0.49,0.50,1.30,-,-,-,,,,,
food_page_11,03009,"งาดำ, อบ","Sesame, seeds, black, roasted",594,2.2,20.60,51.90,3.20,15.7,6.40,1469,688,-,-,-,9.90,-,-,22,0,-,0,0.75,0.27,3.80,0,-,-,,,,,
food_page_11,03010,"เต้าเจียว, ขาว","Soybean paste, white",(126),56.7,11.10,3.70,(12.00),(2.2),16.50,180,178,-,-,-,15.20,-,-,-,0,-,0,0.23,0.08,0.40,-,-,-,,,,,
food_page_11,03011,"เต้าหู้ขาว, อ่อน","Soybean curd, white, soft",(46),90.0,4.30,1.90,(3.00),(0.1),0.80,250,53,-,-,-,2.20,-,-,-,0,-,0,0.04,0.18,0.70,-,-,-,,,,,
food_page_11,03012,"เต้าหู้ทอด, เต้าหู้พอง","Soybean curd, spongy, deep fried",(354),40.6,28.80,25.70,(1.90),(0.3),3.00,-,33,-,-,-,4.20,-,-,-,-,-,-,0.11,0.33,2.80,0,-,-,,,,,
food_page_11,03013,"เต้าหู้ยี้, กระป๋อง","Curd cake, fermented, canned",(141),56.8,8.60,4.20,(17.30),(0.2),13.10,-,15,-,-,-,1.70,-,-,-,0,-,0,0.02,0.00,1.60,-,-,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
